"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage"
"+20% Lifesteal","","","","","","","","","","","","",""
"+20% Magic Resistance","","","","","","","","","","","","",""
"+20% Mortimer Kisses Movement Slow","","","","","","","","","","","","",""
"+20% Poison Attack slow/damage","","","","","","","","","","","","",""
"+20% Powershot Slow","","","","","","","","","","","","",""
"+20% Spell Amplification","","","","","","","","","","","","",""
"+20% Spell Lifesteal","","","","","","","","","","","","",""
"+20% Status Resistance","","","","","","","","","","","","",""
"+20% Stifling Dagger Damage","","","","","","","","","","","","",""
"+20% Trample Attack Multiplier","","","","","","","","","","","","",""
"+20% Wall of Replica Illusion Damage","","","","","","","","","","","","",""
"+20% XP Gain","","","","","","","","","","","","",""
"+200 Aftershock Range","","","","","","","","","","","","",""
"+200 Armor Wukong's Command","","","","","","","","","","","","",""
"+200 Attack Range","","","","","","","","","","","","",""
"+200 Attack Speed","","","","","","","","","","","","",""
"+200 Blast Off! Damage","","","","","","","","","","","","",""
"+200 Cast Range","","","","","","","","","","","","",""
"+200 Chakra Magic Mana","","","","","","","","","","","","",""
"+200 Charge of Darkness Bonus Speed","","","","","","","","","","","","",""
"+200 Damage","","","","","","","","","","","","",""
"+200 Demonic Purge/Cleanse Damage/Heal","","","","","","","","","","","","",""
"+200 Fissure Range","","","","","","","","","","","","",""
"+200 Flame Guard Barrier Amount","","","","","","","","","","","","",""
"+200 Heal On Shallow Grave End","","","","","","","","","","","","",""
"+200 Health","","","","","","","","","","","","",""
"+200 Illuminate Damage","","","","","","","","","","","","",""
"+200 Magic Missile Damage","","","","","","","","","","","","",""
"+200 Mana","","","","","","","","","","","","",""
"+200 Midnight Pulse Radius","","","","","","","","","","","","",""
"+200 Nether Swap Enemy Damage","","","","","","","","","","","","",""
"+200 Rolling Boulder Distance","","","","","","","","","","","","",""
"+200 Spirit Bear Damage","","","","","","","","","","","","",""
"+200 Static Storm Radius","","","","","","","","","","","","",""
"+200 Thunder Clap AoE","","","","","","","","","","","","",""
"+200 Vision","","","","","","","","","","","","",""
"+200/+10 Hand of God Heal/Heal Over Time","","","","","","","","","","","","",""
"+20s Fury Swipes Reset Time","","","","","","","","","","","","",""
"+20s Metamorphosis Duration","","","","","","","","","","","","",""
"+210 Gold/Min","","","","","","","","","","","","",""
"+225 Attack Speed","","","","","","","","","","","","",""
"+225 Cast Range","","","","","","","","","","","","",""
"+225 Health","","","","","","","","","","","","",""
"+225 Mana","","","","","","","","","","","","",""
"+225 Reality Rift Pull Distance","","","","","","","","","","","","",""
"+225 Windrun Radius","","","","","","","","","","","","",""
"+23 Skeletons Attack Damage","","","","","","","","","","","","",""
"+24 Battery Assault Damage","","","","","","","","","","","","",""
"+24 Overload Damage","","","","","","","","","","","","",""
"+24% Critical Strike (200%)","","","","","","","","","","","","",""
"+240 Fireblast Damage","","","","","","","","","","","","",""
"+240 Gold/Min","","","","","","","","","","","","",""
"+25 Agility","","","","","","","","","","","","",""
"+25 Astral Spirit Hero Attack","","","","","","","","","","","","",""
"+25 Attack Speed","","","","","","","","","","","","",""
"+25 Base Damage","","","","","","","","","","","","",""
"+25 Berserker's Rage Movement Speed","","","","","","","","","","","","",""
"+25 Bloodlust AS","","","","","","","","","","","","",""
"+25 Bloodrage Attack Speed","","","","","","","","","","","","",""
"+25 Damage","","","","","","","","","","","","",""
"+25 Diabolic Edict Explosions","","","","","","","","","","","","",""
"+25 Flak Cannon Damage","","","","","","","","","","","","",""
"+25 Headshot Knockback Distance","","","","","","","","","","","","",""
"+25 Health Regen","","","","","","","","","","","","",""
"+25 Intelligence","","","","","","","","","","","","",""
"+25 Macropyre Damage","","","","","","","","","","","","",""
"+25 Mana Break","","","","","","","","","","","","",""
"+25 Movement Speed","","","","","","","","","","","","",""
"+25 Nature's Grasp Damage","","","","","","","","","","","","",""
"+25 Refraction Damage","","","","","","","","","","","","",""
"+25 Rip Tide Damage","","","","","","","","","","","","",""
"+25 Shadowraze Stack Damage","","","","","","","","","","","","",""
"+25 Shrapnel DPS","","","","","","","","","","","","",""
"+25 Soul Assumption Damage Per Charge","","","","","","","","","","","","",""
"+25 Spirit Bear Movement Speed","","","","","","","","","","","","",""
"+25 Strength","","","","","","","","","","","","",""
"+25 Tag Team Damage","","","","","","","","","","","","",""
"+25 Wards Attack Damage","","","","","","","","","","","","",""
"+25% Arcane Bolt Spell Lifesteal","","","","","","","","","","","","",""
"+25% Berserker's Blood Regen","","","","","","","","","","","","",""
"+25% Blur Evasion","","","","","","","","","","","","",""
"+25% Cleave","","","","","","","","","","","","",""
"+25% Evasion","","","","","","","","","","","","",""
"+25% Feral Impulse Damage","","","","","","","","","","","","",""
"+25% Glaives of Wisdom Damage","","","","","","","","","","","","",""
"+25% Great Cleave Damage","","","","","","","","","","","","",""
"+25% Greater Bash Damage","","","","","","","","","","","","",""
"+25% Heartstopper Regen Reduction","","","","","","","","","","","","",""
"+25% Hunter in the Night Status Resistance","","","","","","","","","","","","",""
"+25% Icarus Dive Slow","","","","","","","","","","","","",""
"+25% Lifesteal","","","","","","","","","","","","",""
"+25% Magic Resistance","","","","","","","","","","","","",""
"+25% Magic Resistance During Trample","","","","","","","","","","","","",""
"+25% Maledict Burst Damage","","","","","","","","","","","","",""
"+25% Multishot Damage","","","","","","","","","","","","",""
"+25% Spell Amplification","","","","","","","","","","","","",""
"+25% Spell Lifesteal","","","","","","","","","","","","",""
"+25% Status Resistance","","","","","","","","","","","","",""
"+25% Storm Surge Slow and Damage","","","","","","","","","","","","",""
"+25% Summon Skeleton Duration/-25% Cooldown","","","","","","","","","","","","",""
"+25% Sun Ray Slow","","","","","","","","","","","","",""
"+25% X Marks the Spot Move Speed","","","","","","","","","","","","",""
"+25% XP Gain","","","","","","","","","","","","",""
"+25.0% Soulbind Spell Damage","","","","","","","","","","","","",""
"+250 AoE Hex","","","","","","","","","","","","",""
"+250 Attack Range","","","","","","","","","","","","",""
"+250 Attack Speed","","","","","","","","","","","","",""
"+250 Brain Sap Damage/Heal","","","","","","","","","","","","",""
"+250 Cast Range","","","","","","","","","","","","",""
"+250 Concussive Grenade Cast Range","","","","","","","","","","","","",""
"+250 Damage","","","","","","","","","","","","",""
"+250 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '250', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl10_r.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","",""
"+250 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '250', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl10_l.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","",""
"+250 Goo Cast Range","","","","","","","","","","","","",""
"+250 Gust Width","","","","","","","","","","","","",""
"+250 Health","","","","","","","","","","","","",""
"+250 Mana","","","","","","","","","","","","",""
"+250 Max Health Aura to Beastmaster and his units","","","","","","","","","","","","",""
"+250 Phantom Strike Cast Range","","","","","","","","","","","","",""
"+250 Sonic Wave Damage","","","","","","","","","","","","",""
"+250 Starbreaker AoE","","","","","","","","","","","","",""
"+250 Starstorm Damage","","","","","","","","","","","","",""
"+250 Swashbuckle Slash Range","","","","","","","","","","","","",""
"+250 Waning Rift Radius/Max Distance","","","","","","","","","","","","",""
"+250 Waveform Range","","","","","","","","","","","","",""
"+251 Damage","","","","","","","","","","","","",""
"+252 Damage","","","","","","","","","","","","",""
"+25HP/s Cold Embrace Heal","","","","","","","","","","","","",""
"+275 Attack Range","","","","","","","","","","","","",""
"+275 Cast Range","","","","","","","","","","","","",""
"+275 Glimpse Max Damage","","","","","","","","","","","","",""
"+275 Health","","","","","","","","","","","","",""
"+275 Mana","","","","","","","","","","","","",""
"+2s Grave Chill Duration","","","","","","","","","","","","",""
"+2s Heartstopper Aura Stack Duration","","","","","","","","","","","","",""
"+2s Kinetic Field Duration","","","","","","","","","","","","",""
"+2s Life Break Slow Duration","","","","","","","","","","","","",""
"+2s Repel Duration","","","","","","","","","","","","",""
"+2s Shadow Word Duration","","","","","","","","","","","","",""
"+2s Whirling Axes Debuff Duration","","","","","","","","","","","","",""
"+3 Armor","","","","","","","","","","","","",""
"+3 Damage Per Soul","","","","","","","","","","","","",""
"+3 Flak Cannon Attacks","","","","","","","","","","","","",""
"+3 Hits to Kill Phantom","","","","","","","","","","","","",""
"+3 Lucky Shot Armor Reduction","","","","","","","","","","","","",""
"+3 Mana Regen","","","","","","","","","","","","",""
"+3 Multishot Adaptive Strike","","","","","","","","","","","","",""
"+3 Mystic Snake Bounces","","","","","","","","","","","","",""
"+3 Nether Ward Health","","","","","","","","","","","","",""
"+3 Overpower Attacks","","","","","","","","","","","","",""
"+3 Repel Strength/HP Regen per Debuff","","","","","","","","","","","","",""
"+3 Spin Web Simultaneous Webs","","","","","","","","","","","","",""
"+3 Strength","","","","","","","","","","","","",""
"+3 Supernova Hit Count","","","","","","","","","","","","",""
"+3 Will-O-Wisp Health Count","","","","","","","","","","","","",""
"+3% Spell Amplification","","","","","","","","","","","","",""
"+3% Whirling Death Stat Loss","","","","","","","","","","","","",""
"+30 Agility","","","","","","","","","","","","",""
"+30 Alacrity Damage/Speed","","","","","","","","","","","","",""
"+30 Armor","","","","","","","","","","","","",""
"+30 Attack Speed","","","","","","","","","","","","",""
"+30 Base Damage","","","","","","","","","","","","",""
"+30 Bedlam Damage","","","","","","","","","","","","",""
"+30 Boar and Hawk Damage","","","","","","","","","","","","",""
"+30 Counter Helix Damage","","","","","","","","","","","","",""
"+30 Damage","","","","","","","","","","","","",""
"+30 Dark Ascension Damage","","","","","","","","","","","","",""
"+30 Doom DPS","","","","","","","","","","","","",""
"+30 Gold/Min","","","","","","","","","","","","",""
"+30 Headshot Damage","","","","","","","","","","","","",""
"+30 Health Regen","","","","","","","","","","","","",""
"+30 Intelligence","","","","","","","","","","","","",""
"+30 Jinada Damage","","","","","","","","","","","","",""
"+30 Movement Speed","","","","","","","","","","","","",""
"+30 Movement Speed During Blade Fury","","","","","","","","","","","","",""
"+30 Movement Speed after Heavenly Jump","","","","","","","","","","","","",""
"+30 Movement Speed during Rocket Barrage","","","","","","","","","","","","",""
"+30 Movespeed during Nature's Attendants","","","","","","","","","","","","",""
"+30 Plasma Field Damage","","","","","","","","","","","","",""
"+30 Press The Attack HP Regen","","","","","","","","","","","","",""
"+30 Rot Damage","","","","","","","","","","","","",""
"+30 Spirit Siphon Damage/Heal","","","","","","","","","","","","",""
"+30 Strength","","","","","","","","","","","","",""
"+30 Wrath of Nature Base Damage","","","","","","","","","","","","",""
"+30% Anchor Smash Damage Reduction","","","","","","","","","","","","",""
"+30% Bulwark Active Redirect Chance","","","","","","","","","","","","",""
"+30% Cast Speed","","","","","","","","","","","","",""
"+30% Cinder Brew Damage/Duration","","","","","","","","","","","","",""
"+30% Cleave","","","","","","","","","","","","",""
"+30% Critical Strike (200%)","","","","","","","","","","","","",""
"+30% Enchanted Creep Health/Damage","","","","","","","","","","","","",""
"+30% Evasion","","","","","","","","","","","","",""
"+30% Haunt Illusion Damage","","","","","","","","","","","","",""
"+30% Lifesteal","","","","","","","","","","","","",""
"+30% Magic Resistance","","","","","","","","","","","","",""
"+30% Magnetize Damage & Duration","","","","","","","","","","","","",""
"+30% Mind Over Matter Slow","","","","","","","","","","","","",""
"+30% Purifying Flames Enemy Damage","","","","","","","","","","","","",""
